ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,E_score,S_score,G_score,ESG_score
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,https://www.axcelis.com/,A,High,BB,Medium,B,Medium,0.6069364161849711,0.28796844181459574,0.4625,1081,16-04-2022,BBB,High,1113232,0.6069364161849711,0.28796844181459574,0.4625,0.46791509901836714
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,https://www.acimmune.com/,B,Medium,B,Medium,BB,Medium,0.09633911368015413,0.2682445759368836,0.5750000000000001,851,16-04-2022,BB,Medium,1651625,0.09633911368015413,0.2682445759368836,0.5750000000000001,0.29150901825312675
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,http://achievelifesciences.com/,B,Medium,B,Medium,BB,Medium,0.02890173410404623,0.12228796844181461,0.5750000000000001,742,10-06-2022,B,Medium,949858,0.02890173410404623,0.12228796844181461,0.5750000000000001,0.2207470841741629
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/bd3e9ce4b1a48aa839d6a0ff155fc165309d14773a651b8fb39fe880212870b2.png,https://www.acmrcsh.com/,BBB,High,B,Medium,BB,Medium,0.40462427745664736,0.14201183431952663,0.625,967,10-06-2022,BBB,High,1680062,0.40462427745664736,0.14201183431952663,0.625,0.39195326127851693
acor,Acorda Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/8d3dceec-80df-11ea-98bc-00000000092a.png,http://www.acorda.com/,B,Medium,BB,Medium,BB,Medium,0.05780346820809246,0.28994082840236685,0.5875,847,16-04-2022,BB,Medium,1008848,0.05780346820809246,0.28994082840236685,0.5875,0.286353635803947
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/fa34ff3a5a42ae240b90281cb94d9f9dc73fe2b24a600c551b6d7f0e200dd0e8.png,https://www.acnb.com/,B,Medium,B,Medium,B,Medium,0.03853564547206162,0.11637080867850103,0.35,654,16-04-2022,B,Medium,715579,0.03853564547206162,0.11637080867850103,0.35,0.15532550079237495
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,https://www.aclaristx.com/,B,Medium,B,Medium,B,Medium,0.05780346820809246,0.09270216962524658,0.36250000000000004,657,16-04-2022,B,Medium,1557746,0.05780346820809246,0.09270216962524658,0.36250000000000004,0.15968203817081097
acrx,AcelRx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/04b72c22-80ca-11ea-a317-00000000092a.png,http://www.acelrx.com,B,Medium,B,Medium,BB,Medium,0.0,0.15187376725838264,0.5625,737,16-04-2022,B,Medium,1427925,0.0,0.15187376725838264,0.5625,0.21431213017751477
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static4.finnhub.io/file/publicdatany2/stock_logo/ACT_5038081287.png,https://enactmi.com/,A,High,BB,Medium,BB,Medium,0.6551059730250481,0.3313609467455622,0.6,1183,20-04-2022,BBB,High,1823529,0.6551059730250481,0.3313609467455622,0.6,0.5414506732336879
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,http://acaciaresearch.com/,B,Medium,B,Medium,B,Medium,0.0,0.07889546351084814,0.5,675,16-04-2022,B,Medium,934549,0.0,0.07889546351084814,0.5,0.17366863905325444
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/d1e18ee9f9b952b21566aa5cf9af8ffba761e9085e9de40fbe30fa6b65b8d785.png,https://www.acvauctions.com/,B,Medium,B,Medium,BB,Medium,0.0674373795761079,0.2011834319526627,0.6,812,10-06-2022,BB,Medium,1637873,0.0674373795761079,0.2011834319526627,0.6,0.267329981416242
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5dc6728a7d01cd93139ce716cce8147be340b68b00025bc3471e9350c8487792.png,https://www.adagene.com/,B,Medium,BB,Medium,BB,Medium,0.18304431599229282,0.2781065088757397,0.5750000000000001,901,10-06-2022,BBB,High,1818838,0.18304431599229282,0.2781065088757397,0.5750000000000001,0.32914967905963904
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/dae37e820f89b2050d5105bea48bf5d491196bc6ef42b3249f3bf29ca14589ca.png,https://www.acurxpharma.com/,B,Medium,BB,Medium,BB,Medium,0.0674373795761079,0.2781065088757397,0.5750000000000001,841,11-06-2022,BB,Medium,1736243,0.0674373795761079,0.2781065088757397,0.5750000000000001,0.2829069044931651
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,https://www.adobe.com/,B,Medium,B,Medium,B,Medium,0.0,0.1203155818540434,0.3125,621,16-04-2022,B,Medium,796343,0.0,0.1203155818540434,0.3125,0.129844674556213
adap,Adaptimmune Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/c2ef9c38-80d1-11ea-b201-00000000092a.png,https://www.adaptimmune.com/,BB,Medium,B,Medium,BB,Medium,0.3179190751445086,0.24260355029585806,0.5750000000000001,953,16-04-2022,BBB,High,1621227,0.3179190751445086,0.24260355029585806,0.5750000000000001,0.37244869514656087
adma,ADMA Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/cba1b436-80d0-11ea-bae6-00000000092a.png,https://www.admabiologics.com/,B,Medium,B,Medium,BB,Medium,0.0770712909441233,0.20512820512820512,0.6125,824,16-04-2022,BB,Medium,1368514,0.0770712909441233,0.20512820512820512,0.6125,0.27611697791611084
ades,Advanced Emissions Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,https://static.finnhub.io/logo/d0ea69a2118af9d978c84b2f19242e5a5f3275cf41c49498003f2ffb80911f23.png,https://www.ada-cs.com/Home/default.aspx,B,Medium,B,Medium,BB,Medium,0.009633911368015391,0.08086785009861935,0.5625,706,16-04-2022,B,Medium,1515156,0.009633911368015391,0.08086785009861935,0.5625,0.19686391957679195
adi,Analog Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/638498fa-80eb-11ea-8d04-00000000092a.png,https://www.analog.com/,BB,Medium,BB,Medium,BB,Medium,0.28901734104046245,0.3116370808678501,0.5625,968,16-04-2022,BBB,High,6281,0.28901734104046245,0.3116370808678501,0.5625,0.37784806067654
adil,Adial Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/e0366ab8-80da-11ea-9da8-00000000092a.png,https://www.adialpharma.com/,B,Medium,B,Medium,BB,Medium,0.0,0.08481262327416178,0.5625,703,10-06-2022,B,Medium,1513525,0.0,0.08481262327416178,0.5625,0.1941937869822485
admp,Adamis Pharmaceuticals Corp,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/2653d72e-80cf-11ea-b9db-00000000092a.png,http://www.adamispharmaceuticals.com/,B,Medium,B,Medium,B,Medium,0.16377649325626203,0.08678500986193294,0.35,704,16-04-2022,B,Medium,887247,0.16377649325626203,0.08678500986193294,0.35,0.1965461002610847
acer,Acer Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/da0a6c40-80e0-11ea-81ae-00000000092a.png,https://acertx.com/,B,Medium,B,Medium,BB,Medium,0.044315992292870865,0.25838264299802766,0.5875,824,10-06-2022,BB,Medium,1069308,0.044315992292870865,0.25838264299802766,0.5875,0.2714911898165566
adoc,Edoc Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,BB,Medium,BB,Medium,0.02890173410404623,0.2781065088757397,0.5625,816,16-04-2022,BB,Medium,1824884,0.02890173410404623,0.2781065088757397,0.5625,0.26374264630434036
